session,accept,bold,bullets,numbered,list,no_shown_work,no_gold_answer,style_clean,turns,first_reply_chars,accept_cum,accept_rate_10,bold_rate_10,list_rate_10,style_clean_rate_10
23,1,0,0,0,0,0,0,1,7,1132,8,0.8,0.0,0.2,0.8
24,0,0,0,0,0,1,0,1,4,863,8,0.7,0.0,0.2,0.8
25,0,1,1,1,1,0,0,0,2,1055,8,0.6,0.1,0.3,0.7
26,0,0,0,0,0,0,0,1,0,0,8,0.5,0.1,0.3,0.7
27,0,0,0,0,0,0,0,1,0,0,8,0.5,0.1,0.2,0.8
28,0,0,0,0,0,0,0,1,0,0,8,0.4,0.1,0.2,0.8
29,0,1,1,0,1,0,0,0,1,2174,8,0.4,0.2,0.2,0.8
30,0,0,0,0,0,0,0,1,0,0,8,0.3,0.2,0.2,0.8
31,0,1,1,1,1,0,0,0,3,1645,8,0.2,0.3,0.3,0.7
32,0,0,0,0,0,0,0,1,0,0,8,0.1,0.3,0.3,0.7
33,0,0,0,0,0,0,0,1,0,0,8,0.0,0.3,0.3,0.7
34,0,1,1,0,1,0,0,0,4,1861,8,0.0,0.4,0.4,0.6
35,0,0,1,1,1,0,0,0,4,2575,8,0.0,0.3,0.4,0.6
36,0,1,1,0,1,0,0,0,4,2714,8,0.0,0.4,0.5,0.5
37,0,1,1,1,1,0,0,0,5,2495,8,0.0,0.5,0.6,0.4
38,0,1,1,0,1,0,0,0,8,1314,8,0.0,0.6,0.7,0.3
39,0,1,1,0,1,0,0,0,7,1102,8,0.0,0.6,0.7,0.3
40,0,1,0,1,1,0,0,0,2,581,8,0.0,0.7,0.8,0.2
41,0,1,0,1,1,0,0,0,1,695,8,0.0,0.7,0.8,0.2
42,0,0,0,0,0,1,1,1,1,75,8,0.0,0.7,0.8,0.2
43,0,0,0,0,0,0,0,1,0,0,8,0.0,0.7,0.8,0.2
44,0,0,0,0,0,0,0,1,0,0,8,0.0,0.6,0.7,0.3
45,0,0,0,0,0,0,0,1,0,0,8,0.0,0.6,0.6,0.4
46,0,0,0,0,0,0,0,1,0,0,8,0.0,0.5,0.5,0.5
47,0,0,0,0,0,0,0,1,0,0,8,0.0,0.4,0.4,0.6
48,1,0,0,0,0,0,0,1,8,646,9,0.1,0.3,0.3,0.7
49,0,0,0,1,1,0,1,0,8,394,9,0.1,0.2,0.3,0.7
50,0,0,1,1,1,0,1,0,1,699,9,0.1,0.1,0.3,0.7
51,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
52,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
53,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
54,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
55,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
56,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
57,0,0,0,0,0,0,0,1,0,0,9,0.1,0.0,0.2,0.8
58,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.2,0.8
59,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.1,0.9
60,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
61,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
62,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
63,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
64,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
65,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
66,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
67,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
68,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
69,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
70,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
71,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0,0.0,1.0
